,origin,destination,Origin_city,Destination_city,Fly_date,year,month,name_x,origin_latitude,origin_longitude,name_y,destination_latitude,destination_longitude
1176810,MIA,MSP,"Miami, FL","Minneapolis, MN",1994-06-01,1994,6,Miami International Airport,25.79319953918457,-80.29060363769531,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802
1189380,MKE,MSP,"Milwaukee, WI","Minneapolis, MN",1994-01-01,1994,1,General Mitchell International Airport,42.94720077514648,-87.89659881591797,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802
1964495,CMH,TPA,"Columbus, OH","Tampa, FL",2009-02-01,2009,2,John Glenn Columbus International Airport,39.998001,-82.891899,Tampa International Airport,27.975500106811523,-82.533203125
1010310,STL,SLC,"St. Louis, MO","Salt Lake City, UT",1999-03-01,1999,3,St Louis Lambert International Airport,38.748697,-90.370003,Salt Lake City International Airport,40.785749,-111.979746
1004686,ORD,SLC,"Chicago, IL","Salt Lake City, UT",2004-09-01,2004,9,Chicago O'Hare International Airport,41.9786,-87.9048,Salt Lake City International Airport,40.785749,-111.979746
263013,BFD,PIT,"Bradford, PA","Pittsburgh, PA",2006-01-01,2006,1,Bradford Regional Airport,41.8031005859375,-78.64009857177734,Pittsburgh International Airport,40.49150085,-80.23290253
617988,MFR,PDX,"Medford, OR","Portland, OR",2009-06-01,2009,6,Rogue Valley International Medford Airport,42.37419891357422,-122.8730010986328,Portland International Airport,45.58869934,-122.5979996
2559213,EKO,MSO,"Elko, NV","Missoula, MT",2003-07-01,2003,7,Elko Regional Airport,40.82490158081055,-115.79199981689452,Missoula International Airport,46.91630173,-114.0910034
2153656,CVG,SYR,"Cincinnati, OH","Syracuse, NY",2006-08-01,2006,8,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039
970766,IAH,DFW,"Houston, TX","Dallas, TX",2003-05-01,2003,5,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,Dallas Fort Worth International Airport,32.896801,-97.038002
2934180,LGA,BWI,"New York, NY","Baltimore, MD",2007-06-01,2007,6,La Guardia Airport,40.777199,-73.872597,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297
1168516,PIT,MSP,"Pittsburgh, PA","Minneapolis, MN",2008-11-01,2008,11,Pittsburgh International Airport,40.49150085,-80.23290253,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802
